zpid,price,latitude,longitude,beds,baths,area
29794292,460000.0,40.824595,-73.879489,2.0,2.0,1332.0
29794425,545000.0,40.825625,-73.874939,3.0,2.0,1640.0
29794477,540000.0,40.827325,-73.861785,4.0,3.0,1944.0
29794479,500000.0,40.827229,-73.861762,6.0,2.0,1944.0
29794480,491000.0,40.82718,-73.861751,6.0,3.0,1944.0
29794545,720000.0,40.827807,-73.882131,6.0,4.0,3360.0
29794591,680000.0,40.826346,-73.879897,7.0,4.0,3280.0
29794771,850000.0,40.828604,-73.871708,7.0,4.0,3200.0
29794980,530000.0,40.829448,-73.86646,3.0,3.0,1360.0
29795090,583500.0,40.828939,-73.86348,4.0,4.0,1596.0
29795093,530000.0,40.829141,-73.863526,4.0,2.0,1576.0
29795927,387500.0,40.829745,-73.876875,4.0,2.0,1400.0
29795936,355000.0,40.829523,-73.876193,3.0,3.0,1392.0
29796220,950000.0,40.827709,-73.858509,3.0,2.0,1254.0
29796232,750000.0,40.827551,-73.857673,3.0,2.0,2464.0
29796645,650000.0,40.829425,-73.85478,2.0,3.0,2250.0
29796652,500000.0,40.829312,-73.85539,3.0,2.0,1714.0
29796658,560000.0,40.829266,-73.855922,3.0,3.0,1776.0
29796699,400000.0,40.829963,-73.856277,3.0,2.0,1580.0
29796831,689000.0,40.827494,-73.852546,6.0,3.0,3000.0
29796834,440000.0,40.828137,-73.853001,3.0,3.0,1152.0
29797034,486500.0,40.832395,-73.854015,2.0,2.0,1680.0
29797186,470000.0,40.830353,-73.847762,4.0,2.0,1054.0
29797189,575000.0,40.830319,-73.848095,3.0,3.0,1224.0
29797234,485000.0,40.831933,-73.849782,3.0,3.0,1169.0
29797250,635000.0,40.8317,-73.848903,5.0,2.0,2360.0
29797506,515000.0,40.833121,-73.846028,3.0,2.0,1152.0
29797513,270000.0,40.832853,-73.845827,3.0,2.0,1152.0
29797535,475000.0,40.83365,-73.847468,5.0,2.0,2349.0
29797563,750000.0,40.834213,-73.848105,6.0,4.0,2700.0
29797641,510000.0,40.837106,-73.845503,4.0,2.0,2057.0
29797822,422786.0,40.832715,-73.876572,3.0,2.0,1560.0
29797852,580000.0,40.83317,-73.876132,5.0,3.0,2659.0
29798463,459000.0,40.83619,-73.868434,5.0,3.0,1440.0
29798844,241232.0,40.838818,-73.86763,5.0,3.0,2376.0
29798888,535000.0,40.839518,-73.864484,4.0,2.0,1796.0
29799072,880000.0,40.834398,-73.859167,6.0,2.0,1000.0
29799221,335381.0,40.839302,-73.863461,3.0,2.0,1673.0
29811516,550000.0,40.836857,-73.851868,4.0,3.0,1314.0
29811518,480000.0,40.836873,-73.851724,3.0,2.0,2304.0
29811520,540000.0,40.836889,-73.851581,3.0,2.0,1504.0
29811755,520000.0,40.838851,-73.848456,4.0,3.5,1514.0
29811762,400000.0,40.838677,-73.848237,3.0,2.0,1504.0
29811875,485000.0,40.84076,-73.846957,3.0,3.0,1690.0
29811937,490000.0,40.838102,-73.851958,2.0,2.0,1723.0
29812043,441177.0,40.839769,-73.850573,4.0,3.0,1464.0
29812161,780613.0,40.840702,-73.851523,4.0,2.0,1600.0
29812291,525000.0,40.84233,-73.849507,6.0,3.0,3238.0
29812525,530000.0,40.84285,-73.870371,5.0,2.0,1200.0
29812537,629000.0,40.843194,-73.869098,5.0,2.0,2100.0
29812578,600000.0,40.840961,-73.869067,5.0,3.0,1704.0
29812689,650000.0,40.842298,-73.86645,6.0,2.0,2048.0
29812733,660000.0,40.843185,-73.866571,6.0,3.0,2508.0
29813110,339000.0,40.844826,-73.861978,3.0,2.0,2000.0
29813205,425000.0,40.846264,-73.868452,4.0,3.0,1700.0
29813343,500000.0,40.846581,-73.864977,4.0,3.5,1742.0
29813388,535000.0,40.846738,-73.864103,3.0,3.0,1748.0
29813530,450000.0,40.847476,-73.860662,2.0,2.0,1024.0
29813537,500000.0,40.846917,-73.860813,3.0,3.0,1218.0
29813538,200000.0,40.846978,-73.860838,3.0,2.5,1232.0
29813542,455000.0,40.847231,-73.860952,3.0,2.0,1232.0
29813593,495500.0,40.843745,-73.855417,3.0,3.0,1796.0
29813609,480000.0,40.844012,-73.85474,3.0,2.0,1690.0
29813654,560000.0,40.844515,-73.853154,4.0,3.0,1152.0
29813680,600000.0,40.845164,-73.852727,3.0,3.0,1714.0
29813686,540000.0,40.845372,-73.852256,4.0,3.0,1442.0
29813687,550000.0,40.845408,-73.852176,3.0,2.5,2128.0
29813714,530000.0,40.845704,-73.851525,3.0,2.0,1820.0
29813722,500000.0,40.84522,-73.851095,3.0,2.0,1959.0
29813724,565000.0,40.845099,-73.851002,3.0,2.0,1518.0
